Time,TMP
2019120200,5.0
2019120201,2.4
2019120202,3.0
2019120203,3.0
2019120204,1.4
2019120205,3.0
2019120206,2.0
2019120207,-0.7
2019120208,-1.0
2019120209,-2.0
2019120210,-3.5
2019120211,3.0
2019120212,4.0
2019120213,
2019120214,
2019120215,3.0
2019120216,-2.4
2019120217,4.0
2019120218,6.0
2019120219,7.8
2019120220,8.0
2019120221,9.0
2019120222,9.4
2019120223,9.0
2019120300,9.0
2019120301,7.6
2019120302,7.0
2019120303,7.0
2019120304,1.0
2019120305,6.0
2019120306,5.0
2019120307,-0.4
2019120308,
2019120309,-3.0
2019120310,-0.4
2019120311,-5.0
2019120312,-5.0
2019120313,-0.4
2019120314,-4.0
2019120315,3.0
2019120316,
2019120317,6.0
2019120318,7.0
2019120319,
2019120320,8.0
2019120321,9.0
2019120322,9.7
2019120323,9.0
2019120400,9.0
2019120401,
2019120402,8.0
2019120403,7.0
2019120404,0.9
2019120405,-1.0
2019120406,-2.0
2019120407,-0.7
2019120408,-1.0
2019120409,-1.0
2019120410,-2.8
2019120411,
2019120412,-5.0
2019120413,-3.4
2019120414,-5.0
2019120415,
2019120416,-3.4
2019120417,-2.0
2019120418,
2019120419,0.0
2019120420,1.0
2019120421,
2019120422,2.4
2019120423,2.0
2019120500,1.0
2019120501,0.5
2019120502,-4.0
2019120503,-5.0
2019120504,-1.3
2019120505,-5.0
2019120506,-6.0
2019120507,
2019120508,-8.0
2019120509,-8.0
2019120510,-4.3
2019120511,-9.0
2019120512,-10.0
2019120513,-6.9
2019120514,-10.0
2019120515,-9.0
2019120516,-6.2
2019120517,
2019120518,-3.0
2019120519,-1.5
2019120520,0.0
2019120521,1.0
2019120522,1.3
2019120523,2.0
2019120600,2.0
2019120601,0.6
2019120602,-3.0
2019120603,-3.0
2019120604,-1.8
2019120605,-4.0
2019120606,-5.0
2019120607,-3.7
2019120608,-7.0
2019120609,-5.0
2019120610,-3.8
2019120611,-6.0
2019120612,-4.0
2019120613,-4.5
2019120614,
2019120615,-2.0
2019120616,-3.9
2019120617,1.0
2019120618,2.0
2019120619,2.7
2019120620,5.0
2019120621,5.0
2019120622,4.9
2019120623,5.0
2019120700,4.0
2019120701,3.0
2019120702,-1.0
2019120703,-4.0
2019120704,-2.0
2019120705,-4.0
2019120706,-5.0
2019120707,-4.2
2019120708,-6.0
2019120709,-6.0
2019120710,-3.6
2019120711,-7.0
2019120712,-8.0
2019120713,-5.9
2019120714,-8.0
2019120715,-6.0
2019120716,-5.4
2019120717,-4.0
2019120718,
2019120719,-4.0
2019120720,-3.0
2019120721,-2.0
2019120722,-2.9
2019120723,-2.0
2019120800,-2.0
2019120801,-3.5
2019120802,-3.0
2019120803,-3.0
2019120804,-3.6
2019120805,
2019120806,
2019120807,-3.7
2019120808,-3.0
2019120809,-3.0
2019120810,-4.0
2019120811,-3.0
2019120812,-3.0
2019120813,-3.9
2019120814,-4.0
2019120815,-4.0
2019120816,-4.0
2019120817,-3.0
2019120818,-1.0
2019120819,-2.7
2019120820,3.0
2019120821,4.0
2019120822,2.8
2019120823,6.0
