Time,TMP
2019120200,9.0
2019120201,7.5
2019120202,4.0
2019120203,3.0
2019120204,5.6
2019120205,
2019120206,1.0
2019120207,2.1
2019120208,1.05
2019120209,0.0
2019120210,1.0
2019120211,0.0
2019120212,-1.0
2019120213,-0.5
2019120214,-1.0
2019120215,-1.0
2019120216,0.2
2019120217,2.0
2019120218,7.0
2019120219,8.1
2019120220,10.0
2019120221,12.0
2019120222,11.6
2019120223,12.0
2019120300,11.0
2019120301,9.8
2019120302,6.0
2019120303,4.0
2019120304,4.1
2019120305,2.0
2019120306,1.0
2019120307,3.5
2019120308,1.0
2019120309,0.0
2019120310,1.8
2019120311,
2019120312,-1.0
2019120313,0.7
2019120314,-1.0
2019120315,-1.0
2019120316,2.4
2019120317,6.0
2019120318,10.0
2019120319,11.6
2019120320,13.0
2019120321,
2019120322,14.2
2019120323,15.0
2019120400,13.0
2019120401,11.7
2019120402,7.0
2019120403,6.0
2019120404,6.1
2019120405,4.0
2019120406,2.0
2019120407,3.7
2019120408,1.0
2019120409,
2019120410,2.4
2019120411,0.0
2019120412,0.0
2019120413,3.0
2019120414,-1.0
2019120415,0.0
2019120416,
2019120417,
2019120418,9.0
2019120419,11.7
2019120420,13.0
2019120421,13.0
2019120422,13.4
2019120423,13.0
2019120500,
2019120501,10.6
2019120502,9.0
2019120503,8.0
2019120504,9.1
2019120505,6.0
2019120506,6.0
2019120507,7.5
2019120508,7.0
2019120509,6.0
2019120510,6.1
2019120511,5.0
2019120512,5.0
2019120513,
2019120514,4.0
2019120515,4.0
2019120516,4.6
2019120517,
2019120518,8.0
2019120519,8.2
2019120520,
2019120521,10.0
2019120522,9.9
2019120523,11.0
2019120600,10.0
2019120601,8.1
2019120602,7.0
2019120603,5.0
2019120604,4.4
2019120605,3.0
2019120606,2.0
2019120607,3.2
2019120608,-1.0
2019120609,
2019120610,2.5
2019120611,-1.0
2019120612,-2.0
2019120613,
2019120614,
2019120615,-2.0
2019120616,2.1
2019120617,4.0
2019120618,7.0
2019120619,8.7
2019120620,10.0
2019120621,11.0
2019120622,
2019120623,12.0
2019120700,11.0
2019120701,9.2
2019120702,8.0
2019120703,7.0
2019120704,5.5
2019120705,2.0
2019120706,1.0
2019120707,4.1
2019120708,0.0
2019120709,-1.0
2019120710,3.0
2019120711,-2.0
2019120712,-3.0
2019120713,1.2
2019120714,-3.0
2019120715,-3.0
2019120716,2.2
2019120717,3.0
2019120718,8.0
2019120719,9.7
2019120720,13.0
2019120721,14.0
2019120722,13.6
2019120723,14.0
2019120800,
2019120801,11.5
2019120802,6.0
2019120803,4.0
2019120804,6.9
2019120805,3.0
2019120806,2.0
2019120807,5.1
2019120808,1.0
2019120809,1.0
2019120810,3.6
2019120811,1.0
2019120812,0.0
2019120813,3.2
2019120814,0.0
2019120815,0.0
2019120816,4.1
2019120817,8.0
2019120818,13.0
2019120819,12.7
2019120820,16.0
2019120821,17.0
2019120822,
2019120823,18.0
